Spanish,Polish
que,To
de,z
no,NIE
a,Do
el,On
es,Jest
y,I
en,W
lo,To
un,A
por,przez
qué,To
me,I
una,A
te,herbata
se,ON
con,z
para,Do
mi,Mój
está,Ten
si,Tak
bien,Dobry
pero,Ale
yo,I
eso,To
sí,Tak
su,jego
tu,Ty
aquí,Tutaj
del,z
al,do
como,Jak
le,Ty
más,dalej
esto,Ten
ya,już
todo,Wszystko
esta,Ten
vamos,Pospiesz się
muy,bardzo
hay,jest
ahora,Teraz
algo,coś
estoy,Jestem
tengo,Ja mam
nos,nas
tú,Ty
nada,Nic
cuando,Kiedy
ha,ha
este,Ten
sé,ON
estás,Czy
así,Więc
puedo,Mogę
cómo,Jak
quiero,chcieć
sólo,tylko
soy,jestem  
tiene,ma
gracias,Dziękuję
o,albo
él,On
bueno,Dobrze
fue,był
ser,Być
hacer,Do
son,Czy
todos,Wszystko
era,był
eres,Czy
vez,czas
tienes,Posiadać
creo,uważać
ella,ona
he,On
ese,To
voy,Iść
puede,Móc
sabes,Wiesz
hola,Witam
sus,ich
porque,ponieważ
dios,Bóg
quién,Kto
nunca,nigdy
dónde,Gdzie
quieres,chcieć
casa,dom
favor,przychylność
esa,To
dos,dwa
tan,Więc
señor,Pan
tiempo,czas
verdad,PRAWDA
estaba,był
mejor,lepsza
están,Czy
va,wchodzi
hombre,Człowiek
usted,Ty
mucho,bardzo
hace,robi
entonces,Więc
siento,czuję
tenemos,Posiadać
puedes,Móc
ahí,Tam
ti,Ty
vida,życie
ver,Widzieć
alguien,ktoś
sr,Pan
hasta,dopóki
sin,bez
mí,Mój
solo,tylko
años,lata
sobre,o
decir,mowić
uno,jeden
siempre,zawsze
oh,Oh
ir,Iść
cosas,rzeczy
también,Również
antes,zanim
has,ty masz
ni,żaden
mis,Mój
día,dzień
estar,Być
estamos,jesteśmy
noche,wieczór
nadie,nikt
otra,Inny
quiere,chce
parece,wydaje się
nosotros,nas
poco,fragment
padre,ojciec
trabajo,stanowisko
gente,ludzie
mira,Patrzeć
vas,ty idź
sea,Być
les,ich
donde,Gdzie
mismo,To samo
hecho,zrobiony
ellos,Oni
dijo,powiedział
pasa,dzieje się
dinero,pieniądze
hijo,syn
tal,taki
otro,Inny
hablar,rozmawiać
seguro,Jasne
claro,jasne
estas,Czy
lugar,miejsce
mundo,świat
amigo,przyjaciel
espera,Czekać
mierda,gówno
han,oni mają
tus,twój
sabe,wie
después,Po
momento,za chwilę
desde,z
fuera,na zewnątrz
cosa,rzeczy
tipo,facet
mañana,jutro
podemos,Móc
dije,powiedział
gran,Świetnie
necesito,potrzebować
estado,państwo
podría,mógł
acuerdo,porozumienie
papá,tata
tener,Posiadać
dice,mówi
mío,kopalnia
crees,Wierzysz
buena,Dobry
gusta,tak jak
nuestro,nasz
nuevo,nowy
será,Być
haciendo,czyn
días,dni
nombre,nazwa
buen,Dobry
había,tam było
ven,przychodzić
tres,trzy
menos,mniej
debe,musi
tenía,miał
mal,zło
conmigo,ze mną
madre,matka
hoy,Dzisiaj
quien,Kto
sido,został
mamá,matka
tienen,Posiadać
luego,Następnie
todas,Wszystko
allí,tam
toda,Wszystko
hora,godzina
mujer,kobiety
visto,widziany
haces,ty robisz
importa,To ma znaczenie
contigo,z Tobą
ve,Iść
tarde,późno
oye,Hej
parte,część
haber,mieć
hombres,mężczyźni
problema,problem
mas,dalej
saber,wiedzieć
quería,chciał
aún,Nadal
veces,czasy
nuestra,nasz
hacerlo,Zrób to
cada,każdy
hizo,zrobił
veo,Widzę
tanto,aż tak bardzo
razón,powód
ustedes,Ty
idea,pomysł
esos,te
van,Iść
quizá,Może
debo,muszę
alguna,Niektóre
cierto,PRAWDA
ud,Ty
muerto,martwy
unos,Niektóre
estos,te
salir,wychodzić
policía,Policja
realmente,Naprawdę
demasiado,zbyt wiele
familia,rodzina
pueden,mogą
cabeza,głowa
hemos,mamy
amigos,przyjaciele
chica,dziewczyna
cariño,Drogi
lado,strona
allá,Tam
entre,między
minutos,minuty
digo,mowić
algún,Niektóre
serio,Poważny
cuidado,ostrożny
pasó,przeszedł
buenas,cześć dobrze
somos,Czy
amor,Miłość
puerta,drzwi
ves,zobaczysz
vaya,Oh
ah,Ah
suerte,szczęście
eh,Hej
rápido,szybko
cuenta,konto
quizás,Może
io,Io
esas,te
pues,Dobrze
pasado,przeszłość
pensé,myślałem
todavía,Nadal
hermano,brat
debes,musisz
casi,prawie
forma,kształt
aqui,Tutaj
chico,chłopak
ok,Dobra
dicho,powiedzenie
nueva,nowy
sabía,wiedziałem
muchas,wiele
dentro,wewnątrz
hice,Zrobiłem
contra,przeciwko
auto,samochód
camino,ścieżka
ayuda,pomoc
primera,Pierwszy
hacia,w kierunku
vi,piła
miedo,strach
adiós,do widzenia
primero,Pierwszy
debería,powinien
poder,Móc
niños,dzieci
sería,byłbym
historia,historia
hey,Hej
mientras,chwila
ciudad,miasto
dijiste,powiedział
espero,Czekać
cuánto,ile
esposa,żona
pronto,Wkrótce
chicos,Chłopaki
cualquier,każdy
viejo,stary
debemos,musieć
deja,liście
año,rok
muerte,śmierć
hablando,rozmawiając
manos,ręce
da,daje
loco,zwariowany
problemas,kwestie
mano,ręka
guerra,wojna
semana,tydzień
pasar,przechodzić
vale,OK
cuál,Który
viene,pochodzi
volver,powrót
toma,Brać
caso,sprawa
agua,woda
haré,zrobię
vete,Idź stąd
entiendo,Rozumiem
horas,godziny
personas,ludzie
capitán,kapitan
adelante,do przodu
niño,dziecko
listo,gotowy
noches,Noce
buenos,Dobry
iba,miałem zamiar
juntos,razem
dame,daj mi
único,tylko
déjame,pozwól mi
cerca,w pobliżu
otros,inni
sigue,kontynuować
grande,duży
arriba,powyżej
jefe,szef
habla,Mówi
supongo,Chyba
manera,sposób
quieren,Chcą
feliz,szczęśliwy
significa,oznacza
sangre,krew
fin,koniec
bajo,Niski
llama,połączenia
venir,przychodzić
morir,umierać
importante,ważny
hiciste,zrobił
ojos,oczy
escucha,Słuchać
entrar,wchodzić
ningún,nic
corazón,serce
diablos,Diabły
necesitamos,potrzebować
atrás,z powrotem
durante,podczas
dices,Mówisz
nuestros,nasz
persona,osoba
abajo,poniżej
dr,Dr.
hija,córka
dejar,Zostawić
necesita,wymagania
llegar,przyjechać
hago,Do
señora,dama
haya,Jest
suficiente,wystarczająco 
doctor,lekarz
gustaría,chciałby
tierra,grunt
cara,drogi
siquiera,nawet
genial,genialny
cree,Uważać
